Broker,Stock Symbol,Quantity,Amount,Average Rate
17,SIFC,3230.0,1694515.0,524.6176470588235
17,SIL,-12.0,-11352.0,946.0
17,SINDU,-1200.0,-541390.0,451.15833333333336
17,SJCL,-130.0,-49226.0,378.66153846153844
17,SKBBL,30.0,51000.0,1700.0
17,SLBBL,230.0,269039.0,1169.7347826086957
17,SLBSL,100.0,140000.0,1400.0
17,SLI,-830.0,-436436.0,525.8265060240964
17,SLICL,-34.0,-27302.0,803.0
17,SMFDB,100.0,142800.0,1428.0
17,SPDL,404.0,195090.19999999998,482.8965346534653
17,SRBL,-2445.0,-704605.0,288.18200408997956
17,SSHL,935.0,340579.0,364.255614973262
17,SWBBL,60.0,92550.0,1542.5
17,UIC,-230.0,-162690.0,707.3478260869565
17,ULI,70.0,45172.0,645.3142857142857
17,UMHL,5839.0,2799729.6,479.4878575098476
17,UMRH,250.0,144613.0,578.452
17,UNHPL,-50.0,-19750.0,395.0
17,UPCL,-630.0,-253772.0,402.8126984126984
17,UPPER,70.0,41130.0,587.5714285714286
17,VLBS,-30.0,-50850.0,1695.0
18,AHPC,300.0,148200.0,494.0
18,AIL,585.0,420710.0,719.1623931623932
18,AKJCL,10.0,3300.0,330.0
18,API,300.0,153000.0,510.0
18,BARUN,500.0,241200.0,482.4
18,CBBL,80.0,137680.0,1721.0
18,CBL,65.0,15866.5,244.1
18,CCBL,-838.0,-192775.0,230.04176610978521
18,CFCL,200.0,114400.0,572.0
18,CGH,530.0,828383.5,1562.9877358490567
18,CHDC,-10.0,-8690.0,869.0
18,CIT,-55.0,-183175.0,3330.4545454545455
18,CLBSL,214.0,249826.2,1167.4121495327104
18,CMF1,500.0,4850.0,9.7
18,EBL,847.0,529141.5,624.724321133412
18,EDBL,-50.0,-31750.0,635.0
18,GBBL,710.0,441100.0,621.2676056338029
18,GLH,-60.0,-28981.0,483.01666666666665
18,GMFBS,-20.0,-30900.0,1545.0
18,HIDCL,690.0,213699.99999999997,309.7101449275362
18,HPPL,300.0,147900.0,493.0
18,ICFC,-100.0,-88500.0,885.0
18,JBBL,465.0,265656.0,571.3032258064516
18,JBLB,-30.0,-135660.0,4522.0
18,JSLBB,-20.0,-62600.0,3130.0
18,KBL,159.0,41398.799999999996,260.3698113207547
18,KPCL,-90.0,-56003.0,622.2555555555556
18,KSBBL,-377.0,-233740.0,620.0
18,LBBL,7620.0,5054181.0,663.2783464566929
18,LGIL,-530.0,-386270.8,728.8128301886792
18,LLBS,-125.0,-242765.0,1942.12
18,MDB,100.0,64900.0,649.0
18,MEGA,64.0,21516.5,336.1953125
18,MKJC,-1490.0,-641398.0,430.4684563758389
18,MLBL,-391.0,-302683.0,774.1253196930946
18,MNBBL,-500.0,-358650.0,717.3
18,MPFL,150.0,76950.0,513.0
18,MSLB,183.0,348615.0,1905.0
18,NABIL,-274.0,-422794.0,1543.043795620438
18,NBL,120.0,54000.0,450.0
18,NCCB,164.0,47724.0,291.0
18,NGPL,51.0,39325.0,771.0784313725491
18,NHPC,-550.0,-233750.0,425.0
18,NICBF,-10000.0,-106400.0,10.64
